,lat,lon,name,value
0,52.9789985,-0.0235067,Caffè Nero,0
1,52.9794482,-0.0217006,Costa,0
2,42.3702445,-71.0190457,Starbucks,0
3,42.3485218,-71.0762884,Starbucks,0
4,42.3458582,-71.0436805,Starbucks,0
5,42.3389976,-71.0872848,Starbucks,0
6,42.3416738,-71.0869890,Pavement Coffeehouse,0
7,42.3517977,-71.1192099,Blue State Coffee,0
8,42.3495212,-71.0999346,Starbucks,0
9,42.3493987,-71.1031365,Starbucks,0
10,42.3563867,-71.0693504,Starbucks,0
11,42.3361605,-71.1682930,Hillside Cafe,0
12,42.3466618,-71.0876487,Starbucks,0
13,42.3485642,-71.0959729,Starbucks,0
14,42.3385877,-71.1062405,Starbucks,0
15,42.3377354,-71.1046597,Starbucks,0
16,42.3442452,-71.1013840,Starbucks,0
17,42.3632641,-71.0246719,Starbucks,0
18,42.3610070,-71.0665202,Starbucks,0
19,42.3532440,-71.0576648,Starbucks,0
20,42.3534422,-71.0623116,Caffè Nero,0
21,42.3555941,-71.0611045,Starbucks,0
22,42.3606719,-71.0184493,Espressamente Illy,0
23,42.3621618,-71.0196089,Starbucks,0
24,37.8842692,-4.7800873,Starbucks,0
25,52.9453905,-0.1600528,Crafty Coffee,0
26,42.2844845,-71.0644422,Flat Black,0
27,42.3587422,-71.1543435,Starbucks,0
28,42.3521774,-71.0559949,Starbucks,0
29,42.3522389,-71.0644358,Starbucks,0
30,42.3147028,-71.1039441,Ula Cafe,0
31,42.3589008,-71.0705692,Starbucks,0
32,42.3484433,-71.1341349,Starbucks,0
33,42.3460539,-71.0816950,Starbucks,0
34,42.3582297,-71.0577143,Starbucks,0
35,42.3631494,-71.0563272,Peet's Coffee,0
36,42.3507557,-71.1091552,Starbucks,0
37,42.3425067,-71.0568254,Starbucks,0
38,42.3354982,-71.0355967,Starbucks,0
39,42.3626301,-71.0194191,Starbucks,0
40,42.3471604,-71.0790239,Starbucks,0
41,42.3516552,-71.0669183,Starbucks,0
42,42.3648671,-71.0602846,Boston Common Coffee Co.,0
43,42.3611819,-71.0173336,Peet's Coffee,0
44,42.3518743,-71.0628615,Jaho Coffee Roaster & Wine Bar,0
45,42.3443088,-71.0997963,Starbucks,0
46,42.3672101,-71.0166958,Starbucks,0
47,42.3660567,-71.0152102,Starbucks,0
48,42.3580896,-71.0577570,Starbucks;Ten Thousand Villages,0
49,42.3551174,-71.0597637,Caffè Nero,0
50,42.3560643,-71.0545466,Intelligentsia,0
51,42.3572653,-71.0574318,Render Coffee,0
52,42.3801370,-71.0272074,Melo's Cafe,0
